Data;precip
1951-01-01 00:00:00;216.16607666015625
1951-02-01 00:00:00;175.2174835205078
1951-03-01 00:00:00;236.2767333984375
1951-04-01 00:00:00;167.8667755126953
1951-05-01 00:00:00;131.17874145507812
1951-06-01 00:00:00;75.93241119384766
1951-07-01 00:00:00;49.73455047607422
1951-08-01 00:00:00;42.21259307861328
1951-09-01 00:00:00;68.092529296875
1951-10-01 00:00:00;108.60256958007812
1951-11-01 00:00:00;126.72549438476562
1951-12-01 00:00:00;188.57557678222656
1952-01-01 00:00:00;207.1399383544922
1952-02-01 00:00:00;231.14108276367188
1952-03-01 00:00:00;238.23040771484375
1952-04-01 00:00:00;166.5845184326172
1952-05-01 00:00:00;114.97418212890625
1952-06-01 00:00:00;70.98131561279297
1952-07-01 00:00:00;57.43256759643555
1952-08-01 00:00:00;55.60289001464844
1952-09-01 00:00:00;70.80225372314453
1952-10-01 00:00:00;111.68635559082031
1952-11-01 00:00:00;142.932861328125
1952-12-01 00:00:00;221.63677978515625
1953-01-01 00:00:00;189.78245544433594
1953-02-01 00:00:00;223.49423217773438
1953-03-01 00:00:00;226.42202758789062
1953-04-01 00:00:00;186.41104125976562
1953-05-01 00:00:00;122.0392074584961
1953-06-01 00:00:00;64.58224487304688
1953-07-01 00:00:00;60.27156066894531
1953-08-01 00:00:00;44.1893310546875
1953-09-01 00:00:00;99.48162841796875
1953-10-01 00:00:00;122.40995025634766
1953-11-01 00:00:00;159.67005920410156
1953-12-01 00:00:00;224.69419860839844
1954-01-01 00:00:00;198.0388641357422
1954-02-01 00:00:00;213.91282653808594
1954-03-01 00:00:00;244.6623077392578
1954-04-01 00:00:00;155.35670471191406
1954-05-01 00:00:00;126.95272064208984
1954-06-01 00:00:00;85.9944839477539
1954-07-01 00:00:00;57.83116912841797
1954-08-01 00:00:00;46.37664031982422
1954-09-01 00:00:00;70.94827270507812
1954-10-01 00:00:00;100.0858154296875
1954-11-01 00:00:00;157.27989196777344
1954-12-01 00:00:00;180.57362365722656
1955-01-01 00:00:00;232.54151916503906
1955-02-01 00:00:00;209.02490234375
1955-03-01 00:00:00;243.89083862304688
1955-04-01 00:00:00;188.52720642089844
1955-05-01 00:00:00;124.54883575439453
1955-06-01 00:00:00;78.78934478759766
1955-07-01 00:00:00;70.10870361328125
1955-08-01 00:00:00;46.83159255981445
1955-09-01 00:00:00;62.865562438964844
1955-10-01 00:00:00;115.1102066040039
1955-11-01 00:00:00;155.2309112548828
1955-12-01 00:00:00;218.63531494140625
1956-01-01 00:00:00;203.9262237548828
1956-02-01 00:00:00;222.564697265625
1956-03-01 00:00:00;229.5648956298828
1956-04-01 00:00:00;194.61773681640625
1956-05-01 00:00:00;148.07675170898438
1956-06-01 00:00:00;92.16411590576172
1956-07-01 00:00:00;70.76985931396484
1956-08-01 00:00:00;66.42410278320312
1956-09-01 00:00:00;72.49760437011719
1956-10-01 00:00:00;130.88648986816406
1956-11-01 00:00:00;169.90805053710938
1956-12-01 00:00:00;214.47267150878906
1957-01-01 00:00:00;255.51792907714844
1957-02-01 00:00:00;200.1394805908203
1957-03-01 00:00:00;232.68350219726562
1957-04-01 00:00:00;203.67388916015625
1957-05-01 00:00:00;134.73776245117188
1957-06-01 00:00:00;78.42665100097656
1957-07-01 00:00:00;60.360374450683594
1957-08-01 00:00:00;54.981937408447266
1957-09-01 00:00:00;85.53547668457031
1957-10-01 00:00:00;99.97496032714844
1957-11-01 00:00:00;141.0162811279297
1957-12-01 00:00:00;174.73704528808594
1958-01-01 00:00:00;233.78956604003906
1958-02-01 00:00:00;196.42718505859375
1958-03-01 00:00:00;210.4190673828125
1958-04-01 00:00:00;186.32716369628906
1958-05-01 00:00:00;107.13072967529297
1958-06-01 00:00:00;62.28746032714844
1958-07-01 00:00:00;59.032142639160156
1958-08-01 00:00:00;41.9628791809082
1958-09-01 00:00:00;72.38883209228516
1958-10-01 00:00:00;130.52877807617188
1958-11-01 00:00:00;133.90066528320312
1958-12-01 00:00:00;204.4173126220703
1959-01-01 00:00:00;228.2075958251953
1959-02-01 00:00:00;203.12745666503906
1959-03-01 00:00:00;233.36990356445312
1959-04-01 00:00:00;162.24501037597656
1959-05-01 00:00:00;113.51079559326172
1959-06-01 00:00:00;94.0313720703125
1959-07-01 00:00:00;62.74247360229492
1959-08-01 00:00:00;60.9430046081543
1959-09-01 00:00:00;65.51118469238281
1959-10-01 00:00:00;120.89956665039062
1959-11-01 00:00:00;172.83872985839844
1959-12-01 00:00:00;168.43826293945312
1960-01-01 00:00:00;234.83187866210938
1960-02-01 00:00:00;215.71258544921875
1960-03-01 00:00:00;263.0144958496094
1960-04-01 00:00:00;167.6092529296875
1960-05-01 00:00:00;113.22168731689453
1960-06-01 00:00:00;80.20685577392578
1960-07-01 00:00:00;62.87063980102539
1960-08-01 00:00:00;58.89815902709961
1960-09-01 00:00:00;62.48543930053711
1960-10-01 00:00:00;120.33151245117188
1960-11-01 00:00:00;150.59158325195312
1960-12-01 00:00:00;221.8817596435547
1961-01-01 00:00:00;243.65054321289062
1961-02-01 00:00:00;227.62728881835938
1961-03-01 00:00:00;209.90501403808594
1961-04-01 00:00:00;165.80616760253906
1961-05-01 00:00:00;128.53399658203125
1961-06-01 00:00:00;83.92133331298828
1961-07-01 00:00:00;54.703636169433594
1961-08-01 00:00:00;41.1487922668457
1961-09-01 00:00:00;64.80231475830078
1961-10-01 00:00:00;119.38459014892578
1961-11-01 00:00:00;126.65960693359375
1961-12-01 00:00:00;206.34341430664062
1962-01-01 00:00:00;232.88681030273438
