;0;1;2;3;4;5;6
1951-12-01;-0.6998095200862279;0.19161206444584022;-0.8956960144473719;-1.3112934563712684;-0.31098246929750484;-0.10460450691592876;-0.39979645875467196
1952-01-01;-1.010228990814852;0.1172543177076969;-0.8359216123897913;-1.2336541823465836;-0.7026012387889587;-0.01175649752965302;-0.2940331455036885
1952-02-01;-1.1894580433760336;0.2756985750151195;-0.6699970601429548;-0.8383609917857566;-0.36347601951201286;0.283390311783867;-0.09698039679411774
1952-03-01;-1.2419398838347115;0.029196747255398836;-0.3841668892011325;-0.4543812798481986;-0.2908353644655786;0.060256431754911466;-0.14844933471223085
1952-04-01;-1.279256613180579;0.028375125279102076;-0.47722462839229635;-0.5621718995770899;-0.10746216121143648;0.08574844168438933;-0.1522548573155282
1952-05-01;-1.1662905149861156;-0.15085458844381422;-0.5022385054944228;-0.5240079520214204;-0.2474619405837497;0.12472529331297566;-0.374726788947381
1952-06-01;-0.912795973963311;-0.20265585051179286;-0.5726481662322057;-0.6386725692526621;-0.17050812701010326;0.07156686027031306;-0.4110093150238568
1952-07-01;-0.7006536733191366;-0.1729090314973899;-0.5509499015511828;-0.6065962746752525;-0.1688941068960616;0.06760797834691995;-0.45986197570576315
1952-08-01;-0.7238375581427939;-0.15102036414012965;-0.502160871866265;-0.5562461492063754;-0.18797180179945258;0.1493901448799691;-0.350106251591823
1952-09-01;-0.558988775010854;-0.270851066217877;-0.3875237529042769;-0.5393501910166901;-0.11442403885501018;0.1053642370800732;-0.38969724970088304
1952-10-01;-0.5238076426344624;-0.2852438795122543;-0.3384844219943244;-0.595148212175196;0.07361211338484924;-0.059082992859236655;-0.28734184189732365
1952-11-01;-0.6439486421966437;-0.42256092943357093;0.1435324499366745;-0.519857031060892;0.07814633096042287;0.07467633246379016;-0.24091272480237105
1952-12-01;-0.7214167132333971;-0.3450264374569696;0.4750548901507499;-0.331503462658701;0.07893991017438626;0.25547601044769297;-0.08232824925429003
1953-01-01;-0.6077659005653313;-0.2424508110439274;0.234200360200253;-0.3726728495959266;-0.286206049618974;0.19355021673141157;-0.0664953897214257
1953-02-01;-0.792233222000287;-0.2520240642137893;0.24737641376087388;-0.4374364516826399;-0.7519134916382966;0.2704375472479682;0.13842124957185287
1953-03-01;-1.001005625038823;-0.08223107590879053;-0.29354555823721484;-0.8805859168433694;-0.9103549321749744;0.583480384158277;0.27095690112771637
1953-04-01;-0.7438326178052257;0.025864778408971834;-0.34149534489877575;-0.7878842337633343;-0.8427898180418825;0.5252517090526354;0.35475686670647183
1953-05-01;-0.5546471073423948;0.16851100089954937;-0.3897228413728111;-0.9991815432772322;-0.6483872124683642;0.454696433922398;0.4708509935438153
1953-06-01;-0.803247321151975;0.18463844763708698;-0.3624561183559765;-0.9522003347298883;-0.7218606646592267;0.41901902133410196;0.4784621101045853
1953-07-01;-0.9231805187236981;0.1838422944894202;-0.38444981379461285;-0.9446604506146579;-0.6968785509884647;0.4949182710451447;0.5367832541513735
1953-08-01;-0.8230821490591476;0.17413116747640772;-0.4202585708923763;-0.9841703610607144;-0.6865554525053341;0.3528496651014133;0.4732223437626058
1953-09-01;-0.5930991930015559;0.35741425019769396;-0.4034337082571875;-0.9173998809845063;-0.4394866673696884;0.29838899829861126;0.6271638676039717
1953-10-01;-0.5743157211505852;0.4388414172066712;-0.36214543777408825;-0.8779646088117379;-0.5139525025968508;0.3838296030926747;0.6598269390150986
1953-11-01;-0.5766312235145133;0.5992116593664608;-0.31654726412483253;-0.7914386175420838;-0.41811956089426766;0.33555470750071165;0.7568334437196724
1953-12-01;-0.5725380205316367;0.6598530697092209;-0.4567160085844558;-1.0162422947125407;-0.2884142202661515;0.3626533464615106;0.8389526436297746
1954-01-01;-0.36691688509739967;0.6235231161395051;-0.33655807056780285;-0.9372795984047922;-0.22435764841952427;0.3342646899695155;0.862441064095185
1954-02-01;-0.07676332970543015;0.608383820193021;-0.30587348284364146;-0.8535503954005224;-0.0027954729459110754;0.18221937161043533;0.5341299134436206
1954-03-01;0.061143764238747136;0.5972725642250277;-0.17021995707627974;-0.5079539924984751;-0.1735060520922802;0.15023370062095792;0.6328668036268034
1954-04-01;0.04028683957689259;0.5267689018835776;-0.11096849942419139;-0.7297241952444808;-0.35488643801958686;0.09082347104280966;0.4654868526117306
1954-05-01;0.23142149880570975;0.4671086164118464;-0.08079393450198241;-0.5808775643022721;-0.16505374550428226;-0.029419839534812517;0.38068453388267826
1954-06-01;0.5470922079043616;0.5046996946324624;-0.1064190781614893;-0.5741730762849888;-0.12605116553166307;0.06121285311447961;0.4595826781828577
1954-07-01;0.7807408760784128;0.5026961142845384;-0.09648057868366164;-0.6176801172003157;-0.1454528285498721;-0.09546796835659635;0.4365679907582884
1954-08-01;0.7034553008059627;0.4648119962669794;-0.07507161790357517;-0.6213603457237322;-0.17696925711938263;0.07274024358709891;0.40026076629267554
1954-09-01;0.6129356256030075;0.3441023157772806;-0.22038647806887784;-0.720445805425246;-0.4480328314748979;0.10383949896761947;0.28708411537939793
1954-10-01;0.45563642462391774;0.2012651374448098;-0.299511603298097;-0.7805258829460401;-0.6834065183538179;0.15377688537564968;0.21367794373820695
1954-11-01;0.13389721500876967;0.12266174961042181;-0.08948150682918844;-0.7120121113764849;-0.8621609182740368;0.2967281558200884;0.1899299502636111
1954-12-01;0.28034598303082064;-0.09545997965362946;-0.6000699628448869;-0.8437394465775745;-1.0690302907419762;0.18766854364383795;-0.02050227613394562
